Part Number,Brand AAIAID,Brand Label,B32 Item Quantity Size,B55 Minimum Order Quantity,B56 Minimum Order Quantity UOM,B64 Part Terminology ID,C10_DEF AAIA Part Type Description,C10_DES Product Description - Long - 80,C10_EXT Product Description - Extended 240,C10_FAB Features and Benefits - 240,C10_INV Product Description - Invoice - 40,C10_KEY Key Search Words - 2000,C10_LAB Label Description - 80,C10_MKT Marketing Description - 2000,C10_SHO Product Description - Short - 20,D40_JBR Jobber,D40_LST List,D40_RET Retail,D40_RMP Retail Minimum Advertised Price,E10_CTO SHIP: Country of Origin (Primary),E10_LIF SHIP: Life Cycle Status Code,E10_LIS SHIP: Life Cycle Status Description,E10_MSR HAZR: MSDS Required Flag,H25_EA Smallest Pack (Consumer Level),Year,Make,Model,Submodel,ACES Part Type ID,Position,Quantity,Region,Qual,Fitment Notes,Mfr Label,Vehicle Type Group Name,Liter,Cylinders,Block Type,Fuel Delivery Type Name,Fuel Type Name,Engine Designation Name,Engine VIN Name,Valves Per Engine,CC,CID,Engine Bore Inches,Engine Bore Metric,Engine Stroke Inches,Engine Stroke Metric
7152,BDDP,Accel,,1,EA,7228,Spark Plug Wire Set,Accel 8mm 300+ RACE WIRE CUST FIT,"<p>These ACCEL 300+ wire sets are custom tailored for race engines and their builders. The oversize 8.8mm wire is rated for 600 degrees F and 60kV. Resists heat, chemicals and moisture. High density insulation eliminates arcing.</p>

<ul>
<li>Boot Material: Silicone</li>
<li>Boot Temperature Rating: Meets or Exceeds OE</li>
<li>Brand: ACCEL</li>
<li>Color: Black</li>
<li>Core: Ferro-Spiral</li>
<li>Material: Silicone</li>
<li>Product Type: Spark Plug Wires</li>
<li>Warranty: Limited 90 Day Warranty</li>
<li>Weight: 2.7500</li>
<li>Wire Diameter: 8.8mm</li>
<li>Wire Series 300+</li>
<li>Wire Temp Rating: 600 Degrees</li>
</ul>", ,,,,,,121.37,192.65,173.39,,US,2,Available To Order,,9.1,2000,Chevrolet                                         ,Camaro                                                                                              ,,7228,1,1,,,8.8mm; Black;,Custom Fit 300+ Race,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
7152,BDDP,Accel,,1,EA,7228,Spark Plug Wire Set,Accel 8mm 300+ RACE WIRE CUST FIT,"<p>These ACCEL 300+ wire sets are custom tailored for race engines and their builders. The oversize 8.8mm wire is rated for 600 degrees F and 60kV. Resists heat, chemicals and moisture. High density insulation eliminates arcing.</p>

<ul>
<li>Boot Material: Silicone</li>
<li>Boot Temperature Rating: Meets or Exceeds OE</li>
<li>Brand: ACCEL</li>
<li>Color: Black</li>
<li>Core: Ferro-Spiral</li>
<li>Material: Silicone</li>
<li>Product Type: Spark Plug Wires</li>
<li>Warranty: Limited 90 Day Warranty</li>
<li>Weight: 2.7500</li>
<li>Wire Diameter: 8.8mm</li>
<li>Wire Series 300+</li>
<li>Wire Temp Rating: 600 Degrees</li>
</ul>", ,,,,,,121.37,192.65,173.39,,US,2,Available To Order,,9.1,2001,Chevrolet                                         ,Camaro                                                                                              ,,7228,1,1,,,8.8mm; Black;,Custom Fit 300+ Race,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
7152,BDDP,Accel,,1,EA,7228,Spark Plug Wire Set,Accel 8mm 300+ RACE WIRE CUST FIT,"<p>These ACCEL 300+ wire sets are custom tailored for race engines and their builders. The oversize 8.8mm wire is rated for 600 degrees F and 60kV. Resists heat, chemicals and moisture. High density insulation eliminates arcing.</p>

<ul>
<li>Boot Material: Silicone</li>
<li>Boot Temperature Rating: Meets or Exceeds OE</li>
<li>Brand: ACCEL</li>
<li>Color: Black</li>
<li>Core: Ferro-Spiral</li>
<li>Material: Silicone</li>
<li>Product Type: Spark Plug Wires</li>
<li>Warranty: Limited 90 Day Warranty</li>
<li>Weight: 2.7500</li>
<li>Wire Diameter: 8.8mm</li>
<li>Wire Series 300+</li>
<li>Wire Temp Rating: 600 Degrees</li>
</ul>", ,,,,,,121.37,192.65,173.39,,US,2,Available To Order,,9.1,2002,Chevrolet                                         ,Camaro                                                                                              ,,7228,1,1,,,8.8mm; Black;,Custom Fit 300+ Race,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
140017,BDDP,Accel,,12,EA,7060,Ignition Coil,Accel GM 86-99 DIS SUPERCOIL,"<p>This ACCEL AC/Delco style super DIS coil for GM 1986-2003 has a maximum voltage of 45,000 volts.</p>

<p>Re-engineered to be the only true performance AC/Delco style DIS coil. “Raised Dome” construction, section bobbin technology, highly specialized silicone magnetic steel core, optimized windings, resistance, and turns ratio result in higher energy and voltage outputs, and longer dwell. Compatible with OE computer controlled ignition systems as well as Crane or MSD capacitive discharge DIS ignition systems. Brass contact increases energy transfer and resists corrosion better than aluminum. High dielectric strength “ACCEL Yellow” over molded housing. Packaged as single unit: 4 cyls require 2 coils, 6 cyls require 3 coils and 8 cyls require 4 coils.</p>

<h3>Features:</h3>
<ul>
<li>10-15% More Energy</li>
<li>Direct Plug In Replacement Direct OE Fit</li>
<li>Advanced Bobbin Technology</li>
<li>Highly Specialized Silicone Magnetic Steel Cores</li>
<li>Standard Motor Products SMP Dr-39</li>
<li>MSD 8224</li>
</ul> 
", ,,,,,,53.29,84.59,76.13,,US,2,Available To Order,,4.9,2000,Chevrolet                                         ,Camaro                                                                                              ,Base                                              ,7060,,3,,,"<ul>
<li>Color: Yellow</li>
<li>Emission Code: 1</li>
<li>Maximum Voltage: 45,000 volts</li>
<li>Peak Increase in Current vs. OE 12%</li>
<li>Peak Increase in Dwell vs. OE 21%</li>
<li>Peak Increase in Voltage vs. OE 10%</li>
<li>Primary Resistance: 0.5 Ohms</li>
<li>Product Type: Ignition Coils</li>
<li>Secondary Resistance: 8.0 k Ohms</li>
<li>Turns Ratio: 75:1</li>
<li>Warranty: Limited 90 Day Warranty</li>
<li>Weight: 1.0000</li>
</ul>",Super DIS,,3.8,6,V ,,,,,,3800,231,3.8,96.5,3.4,86.4
140017,BDDP,Accel,,12,EA,7060,Ignition Coil,Accel GM 86-99 DIS SUPERCOIL,"<p>This ACCEL AC/Delco style super DIS coil for GM 1986-2003 has a maximum voltage of 45,000 volts.</p>

<p>Re-engineered to be the only true performance AC/Delco style DIS coil. “Raised Dome” construction, section bobbin technology, highly specialized silicone magnetic steel core, optimized windings, resistance, and turns ratio result in higher energy and voltage outputs, and longer dwell. Compatible with OE computer controlled ignition systems as well as Crane or MSD capacitive discharge DIS ignition systems. Brass contact increases energy transfer and resists corrosion better than aluminum. High dielectric strength “ACCEL Yellow” over molded housing. Packaged as single unit: 4 cyls require 2 coils, 6 cyls require 3 coils and 8 cyls require 4 coils.</p>

<h3>Features:</h3>
<ul>
<li>10-15% More Energy</li>
<li>Direct Plug In Replacement Direct OE Fit</li>
<li>Advanced Bobbin Technology</li>
<li>Highly Specialized Silicone Magnetic Steel Cores</li>
<li>Standard Motor Products SMP Dr-39</li>
<li>MSD 8224</li>
</ul> 
", ,,,,,,53.29,84.59,76.13,,US,2,Available To Order,,4.9,2001,Chevrolet                                         ,Camaro                                                                                              ,Base                                              ,7060,,3,,,Primary Resist 0.5 Ohms Secondary 8.0 k Ohms; Turn Ratio 75:1; Max Voltage 45000V;,Super DIS,,3.8,6,V ,,,,,,3800,231,3.8,96.5,3.4,86.4
140017,BDDP,Accel,,12,EA,7060,Ignition Coil,Accel GM 86-99 DIS SUPERCOIL,"<p>This ACCEL AC/Delco style super DIS coil for GM 1986-2003 has a maximum voltage of 45,000 volts.</p>

<p>Re-engineered to be the only true performance AC/Delco style DIS coil. “Raised Dome” construction, section bobbin technology, highly specialized silicone magnetic steel core, optimized windings, resistance, and turns ratio result in higher energy and voltage outputs, and longer dwell. Compatible with OE computer controlled ignition systems as well as Crane or MSD capacitive discharge DIS ignition systems. Brass contact increases energy transfer and resists corrosion better than aluminum. High dielectric strength “ACCEL Yellow” over molded housing. Packaged as single unit: 4 cyls require 2 coils, 6 cyls require 3 coils and 8 cyls require 4 coils.</p>

<h3>Features:</h3>
<ul>
<li>10-15% More Energy</li>
<li>Direct Plug In Replacement Direct OE Fit</li>
<li>Advanced Bobbin Technology</li>
<li>Highly Specialized Silicone Magnetic Steel Cores</li>
<li>Standard Motor Products SMP Dr-39</li>
<li>MSD 8224</li>
</ul> 
", ,,,,,,53.29,84.59,76.13,,US,2,Available To Order,,4.9,2002,Chevrolet                                         ,Camaro                                                                                              ,Base                                              ,7060,,3,,,Primary Resist 0.5 Ohms Secondary 8.0 k Ohms; Turn Ratio 75:1; Max Voltage 45000V;,Super DIS,,3.8,6,V ,,,,,,3800,231,3.8,96.5,3.4,86.4
140041,BDDP,Accel,,1,EA,7060,Ignition Coil,Accel COIL;LS1 LS6 DELCO D580,"<p>ACCEL 140041 Yellow/Black Super Coil for LS1/LS6</p>

<ul>
<li>to 15 percent more power than aging stock coils</li>
<li>Delivers more torque quicker starts instant throttle response better acceleration a smoother idle and improved gas mileage</li>
<li>Engineered specifically for Chevy LS1 and LS6 engines</li>
<li>Reduces misfire and eliminates hesitation</li>
<li>Completely redesigned highly conductive direct plug replacement</li>
</ul>
", ,,,,,,60.16,95.49,63.17,,CN,2,Available To Order,,3.2,2000,Chevrolet                                         ,Camaro                                                                                              ,Z28 SS                                            ,7060,,1,,,,Super Coil,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
140041,BDDP,Accel,,1,EA,7060,Ignition Coil,Accel COIL;LS1 LS6 DELCO D580,"<p>ACCEL 140041 Yellow/Black Super Coil for LS1/LS6</p>

<ul>
<li>to 15 percent more power than aging stock coils</li>
<li>Delivers more torque quicker starts instant throttle response better acceleration a smoother idle and improved gas mileage</li>
<li>Engineered specifically for Chevy LS1 and LS6 engines</li>
<li>Reduces misfire and eliminates hesitation</li>
<li>Completely redesigned highly conductive direct plug replacement</li>
</ul>
", ,,,,,,60.16,95.49,63.17,,CN,2,Available To Order,,3.2,2001,Chevrolet                                         ,Camaro                                                                                              ,Z28                                               ,7060,,1,,,,Super Coil,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
140041,BDDP,Accel,,1,EA,7060,Ignition Coil,Accel COIL;LS1 LS6 DELCO D580,"<p>ACCEL 140041 Yellow/Black Super Coil for LS1/LS6</p>

<ul>
<li>to 15 percent more power than aging stock coils</li>
<li>Delivers more torque quicker starts instant throttle response better acceleration a smoother idle and improved gas mileage</li>
<li>Engineered specifically for Chevy LS1 and LS6 engines</li>
<li>Reduces misfire and eliminates hesitation</li>
<li>Completely redesigned highly conductive direct plug replacement</li>
</ul>
", ,,,,,,60.16,95.49,63.17,,CN,2,Available To Order,,3.2,2001,Chevrolet                                         ,Camaro                                                                                              ,Z28 SS                                            ,7060,,1,,,,Super Coil,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
140041,BDDP,Accel,,1,EA,7060,Ignition Coil,Accel COIL;LS1 LS6 DELCO D580,"<p>ACCEL 140041 Yellow/Black Super Coil for LS1/LS6</p>

<ul>
<li>to 15 percent more power than aging stock coils</li>
<li>Delivers more torque quicker starts instant throttle response better acceleration a smoother idle and improved gas mileage</li>
<li>Engineered specifically for Chevy LS1 and LS6 engines</li>
<li>Reduces misfire and eliminates hesitation</li>
<li>Completely redesigned highly conductive direct plug replacement</li>
</ul>
", ,,,,,,60.16,95.49,63.17,,CN,2,Available To Order,,3.2,2002,Chevrolet                                         ,Camaro                                                                                              ,Z28 SS                                            ,7060,,1,,,,Super Coil,,5.7,8,V ,,,,,,-       ,350,3.9,99,3.62,92
