productmanufacturer,Hazardous Material Code (Y/N),Item-Level GTIN,vendor_partno,Brand AAIAID,ACES Applications,Item Quantity Size,Item Quantity Size UOM,package_type,Quantity per Application,Minimum Order Quantity,Product Group Code,Product Sub-Group Code,Product Category Code,Part Terminology ID,Application Summary - 2000,Product Description - Long - 80,Product Description - Short - 20,Product Description - Invoice - 40,Invoice Cost,WD Core,vendor_price,productprice,Non-Stock Dealer,User,listprice,Jobber Core,Price Break Quantity,Country of Origin (Primary),Harmonized Tariff Code (Schedule B),Life Cycle Status Code,MSDS Sheet Available Y/N,National Popularity Code,Part Number - Old,Part Number Superseded To,Taxable,MSDS Sheet Number,Each Package Level GTIN,Each Package Bar Code Characters,Each Package UOM,height,width,length,productweight,metatag_title,metatag_description,autodropship,freeshippingitem,productkeywords,categoryids,producturl,photourl,donotallowbackorders,availability,hide_when_outofstock
T-Rex,N,6.10E+11,25027,DJTM,Y,1,EA,BX,1,1,,,,14090,,2010-2013 Camaro  BILLET ALUMINUM Polished BUMPER,BILLET BUMPER,T-Rex 25027,,,129.89,,,,157.44,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,7,7,43,5,T-Rex 25027 BILLET BUMPER,2010-2013 Camaro  BILLET ALUMINUM Polished BUMPER T-Rex 25027,Y,Y,BILLET BUMPER,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910131,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro  DEF ALUMINUM BLACK DOOR SILL,INTERIOR TRIM,T-Rex 6910131,,,205.65,,,,249.27,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,4,24,18,4,T-Rex 6910131 INTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK DOOR SILL T-Rex 6910131,Y,Y,INTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910061,DJTM,Y,1,EA,BX,1,1,,,,13738,,2010-2013 Camaro  DEF ALUMINUM BLACK GAS DOOR,EXTERIOR TRIM,T-Rex 6910061,,,205.65,,,,249.27,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,3,12,11,2,T-Rex 6910061 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK GAS DOOR T-Rex 6910061,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910021,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  DEF ALUMINUM BLACK LOGO,EXTERIOR TRIM,T-Rex 6910021,,,124.47,,,,150.87,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,1,T-Rex 6910021 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK LOGO T-Rex 6910021,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910031,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  DEF ALUMINUM BLACK LOGO,EXTERIOR TRIM,T-Rex 6910031,,,124.47,,,,150.87,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,1,T-Rex 6910031 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK LOGO T-Rex 6910031,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910121,DJTM,Y,1,EA,BX,1,1,,,,18476,,2010-2013 Camaro  DEF ALUMINUM BLACK RL BEZEL,EXTERIOR TRIM,T-Rex 6910121,,,124.47,,,,150.87,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,6,6,12,2,T-Rex 6910121 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK RL BEZEL T-Rex 6910121,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910141,DJTM,Y,1,EA,BX,1,1,,,,10962,,2010-2013 Camaro  DEF ALUMINUM BLACK SHIFTER,INTERIOR TRIM,T-Rex 6910141,,,216.48,,,,262.4,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,2,T-Rex 6910141 INTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK SHIFTER T-Rex 6910141,Y,Y,INTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910081,DJTM,Y,1,EA,BX,1,1,,,,16524,,2010-2013 Camaro  DEF ALUMINUM BLACK SIDE VENT,EXTERIOR TRIM,T-Rex 6910081,,,205.65,,,,249.27,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,13,18,2,T-Rex 6910081 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BLACK SIDE VENT T-Rex 6910081,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910063,DJTM,Y,1,EA,BX,1,1,,,,13738,,2010-2013 Camaro  DEF ALUMINUM BRUSHED GAS DOOR,EXTERIOR TRIM,T-Rex 6910063,,,205.65,,,,249.27,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,2,T-Rex 6910063 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM BRUSHED GAS DOOR T-Rex 6910063,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910132,DJTM,Y,1,EA,BX,1,1,,,,1032,,2010-2013 Camaro  DEF ALUMINUM CHROME DOOR SILL,INTERIOR TRIM,T-Rex 6910132,,,205.65,,,,249.27,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,4,24,18,4,T-Rex 6910132 INTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME DOOR SILL T-Rex 6910132,Y,Y,INTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910062,DJTM,Y,1,EA,BX,1,1,,,,13738,,2010-2013 Camaro  DEF ALUMINUM CHROME GAS DOOR,EXTERIOR TRIM,T-Rex 6910062,,,205.65,,,,249.27,,,US,8708100000,4,N,B,,,,,6.10E+11,6.10E+11,EA,3,12,11,2,T-Rex 6910062 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME GAS DOOR T-Rex 6910062,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910022,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  DEF ALUMINUM CHROME LOGO,EXTERIOR TRIM,T-Rex 6910022,,,124.47,,,,150.87,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,1,T-Rex 6910022 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME LOGO T-Rex 6910022,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910032,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  DEF ALUMINUM CHROME LOGO,EXTERIOR TRIM,T-Rex 6910032,,,124.47,,,,150.87,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,1,T-Rex 6910032 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME LOGO T-Rex 6910032,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910122,DJTM,Y,1,EA,BX,1,1,,,,18476,,2010-2013 Camaro  DEF ALUMINUM CHROME RL BEZEL,EXTERIOR TRIM,T-Rex 6910122,,,124.47,,,,150.87,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,6,6,12,2,T-Rex 6910122 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME RL BEZEL T-Rex 6910122,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910142,DJTM,Y,1,EA,BX,1,1,,,,10962,,2010-2013 Camaro  DEF ALUMINUM CHROME SHIFTER,INTERIOR TRIM,T-Rex 6910142,,,216.48,,,,262.4,,,US,8708100000,4,N,B,,,,,6.10E+11,6.10E+11,EA,3,12,11,2,T-Rex 6910142 INTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME SHIFTER T-Rex 6910142,Y,Y,INTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910082,DJTM,Y,1,EA,BX,1,1,,,,16524,,2010-2013 Camaro  DEF ALUMINUM CHROME SIDE VENT,EXTERIOR TRIM,T-Rex 6910082,,,205.65,,,,249.27,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,13,18,2,T-Rex 6910082 EXTERIOR TRIM,2010-2013 Camaro  DEF ALUMINUM CHROME SIDE VENT T-Rex 6910082,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910101,DJTM,Y,1,EA,BX,1,1,,,,10962,,2010-2013 Camaro  DEF PLASTIC BLACK SHIFTER,EXTERIOR TRIM,T-Rex 6910101,,,216.48,,,,262.4,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,8,10,24,1,T-Rex 6910101 EXTERIOR TRIM,2010-2013 Camaro  DEF PLASTIC BLACK SHIFTER T-Rex 6910101,Y,Y,EXTERIOR TRIM,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,19027B,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  EMB ALUMINUM BLACK BOWTIE,BILLET BOWTIE,T-Rex 19027B,,,56.29,,,,68.23,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,7,7,12,1,T-Rex 19027B BILLET BOWTIE,2010-2013 Camaro  EMB ALUMINUM BLACK BOWTIE T-Rex 19027B,Y,Y,BILLET BOWTIE,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910011,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  EMB ALUMINUM BLACK BOWTIE,BILLET BOWTIE,T-Rex 6910011,,,146.12,,,,177.12,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,3,12,11,1,T-Rex 6910011 BILLET BOWTIE,2010-2013 Camaro  EMB ALUMINUM BLACK BOWTIE T-Rex 6910011,Y,Y,BILLET BOWTIE,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,19027,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  EMB ALUMINUM CHROME BOWTIE,BILLET BOWTIE,T-Rex 19027,,,56.29,,,,68.23,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,7,7,12,1,T-Rex 19027 BILLET BOWTIE,2010-2013 Camaro  EMB ALUMINUM CHROME BOWTIE T-Rex 19027,Y,Y,BILLET BOWTIE,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,6910012,DJTM,Y,1,EA,BX,1,1,,,,16231,,2010-2013 Camaro  EMB ALUMINUM CHROME BOWTIE,BILLET BOWTIE,T-Rex 6910012,,,146.12,,,,177.12,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,3,12,11,1,T-Rex 6910012 BILLET BOWTIE,2010-2013 Camaro  EMB ALUMINUM CHROME BOWTIE T-Rex 6910012,Y,Y,BILLET BOWTIE,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,20027b,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro (ALL)  BILLET ALUMINUM BLACK Grille,BLK PHANTOM BILLET,T-Rex 20027b,,,411.33,,,,498.58,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,12,9,68,17,T-Rex 20027b BLK PHANTOM BILLET,2010-2013 Camaro (ALL)  BILLET ALUMINUM BLACK Grille T-Rex 20027b,Y,Y,BLK PHANTOM BILLET,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,21027B,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro (ALL)  BILLET ALUMINUM BLACK Grille,BLK BILLET GRILLE,T-Rex 21027B,,,265.2,,,,321.45,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,9,12,42,7,T-Rex 21027B BLK BILLET GRILLE,2010-2013 Camaro (ALL)  BILLET ALUMINUM BLACK Grille T-Rex 21027B,Y,Y,BLK BILLET GRILLE,,,,N,Item In Stock,N
